id,year,alterid,age,educ,sex,relig,race,a_talkto,a_sibling,a_parent,a_spouse,a_child,a_othfam,a_cowork,a_friend,a_neighbr,a_advisor,a_memgrp,a_other,n_nonmiss
3,2004,1,56,6,2,1,2,4,2,2,2,2,2,2,1,2,2,2,2,17
5,2004,1,63,7,2,2,3,1,2,1,2,2,2,2,2,2,2,2,2,17
10,2004,1,25,3,2,5,4,1,2,2,2,2,2,1,2,2,2,2,2,17
12,2004,1,57,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,17
16,2004,1,50,,1,,2,2,2,2,2,2,2,2,2,2,1,2,2,15
20,2004,1,33,5,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,17
26,2004,1,45,5,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,17
30,2004,1,69,7,1,3,4,4,1,2,2,2,2,2,2,2,2,2,2,17
35,2004,1,47,7,1,,4,1,2,2,1,2,2,2,2,2,2,2,2,16
36,2004,1,25,6,2,3,4,1,2,2,2,1,2,2,2,2,2,2,2,17
46,2004,1,50,3,1,4,1,2,1,2,2,2,2,2,1,2,1,2,2,17
54,2004,1,47,3,1,2,3,1,1,2,2,2,2,2,2,2,2,2,1,17
55,2004,1,32,0,1,,4,3,2,2,2,2,2,2,2,1,2,2,2,16
57,2004,1,55,7,1,1,4,1,2,2,2,2,2,1,1,2,2,2,2,17
59,2004,1,54,7,1,4,4,1,2,2,1,2,2,2,2,2,2,2,2,17
60,2004,1,65,6,1,2,4,4,2,2,2,2,2,2,1,2,2,2,2,17
61,2004,1,48,6,2,1,4,1,2,2,1,2,2,2,2,2,2,2,2,17
62,2004,1,77,0,1,2,4,2,2,1,2,2,2,2,2,2,2,2,1,17
63,2004,1,43,7,1,5,4,1,2,2,1,2,2,2,2,2,2,2,2,17
65,2004,1,,7,1,,5,1,2,2,2,2,2,2,2,2,2,1,2,15
66,2004,1,47,7,1,3,4,1,2,2,1,2,2,2,2,2,2,2,2,17
69,2004,1,57,7,1,5,4,1,2,2,1,2,2,2,2,2,2,2,2,17
70,2004,1,74,3,2,2,4,3,2,2,2,2,1,2,2,2,2,2,2,17
71,2004,1,45,6,1,4,2,3,2,2,2,2,2,2,1,2,2,2,2,17
72,2004,1,34,5,2,1,4,1,2,2,2,2,2,1,1,2,2,2,2,17
74,2004,1,37,4,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,17
75,2004,1,42,4,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,17
80,2004,1,58,4,1,2,4,4,2,2,2,2,1,2,2,2,2,2,2,17
83,2004,1,39,3,1,2,3,1,2,2,1,2,2,2,2,2,2,2,2,17
84,2004,1,46,5,1,2,4,2,1,2,2,2,2,2,1,2,2,1,2,17
89,2004,1,29,6,2,5,1,1,2,2,1,2,2,2,2,2,2,2,2,17
90,2004,1,41,7,2,1,4,1,2,2,2,1,2,2,2,2,2,2,2,17
92,2004,1,27,7,2,5,1,1,2,2,1,2,2,2,2,2,2,2,2,17
93,2004,1,33,5,1,5,1,1,2,2,2,2,2,2,1,2,2,2,2,17
94,2004,1,43,3,1,2,4,1,2,2,1,2,2,2,2,2,2,2,2,17
95,2004,1,78,3,2,1,4,2,2,2,2,2,1,2,1,2,2,2,2,17
96,2004,1,25,4,2,2,4,1,1,2,2,2,2,2,2,2,2,2,2,17
103,2004,1,35,5,1,2,4,1,2,2,1,2,2,2,2,2,2,2,2,17
106,2004,1,53,4,1,2,4,2,2,2,1,2,2,2,2,2,2,2,2,17
112,2004,1,65,3,1,2,4,3,2,2,2,2,2,2,1,2,2,2,2,17
116,2004,1,34,6,1,1,4,1,2,2,1,2,2,2,1,2,2,2,2,17
117,2004,1,62,7,1,1,4,2,2,2,2,2,1,2,2,2,2,2,2,17
120,2004,1,30,4,1,5,5,1,2,2,2,2,2,2,1,2,2,2,2,17
125,2004,1,25,7,2,2,4,2,2,2,2,2,2,1,2,2,2,2,2,17
129,2004,1,62,3,2,2,4,1,2,2,1,2,2,2,2,2,2,2,2,17
131,2004,1,67,3,1,5,4,1,2,2,1,2,2,2,2,2,2,2,2,17
133,2004,1,21,5,2,1,4,1,2,2,2,2,2,2,1,2,2,2,2,17
135,2004,1,49,5,2,2,4,1,2,2,1,2,2,2,1,2,1,2,2,17
136,2004,1,32,7,1,5,4,1,2,2,1,2,2,2,2,2,2,2,2,17
139,2004,1,70,6,2,2,4,1,2,1,2,2,2,2,2,2,2,2,2,17
140,2004,1,58,1,1,2,4,1,2,1,2,2,2,2,2,2,2,2,2,17
143,2004,1,65,3,2,2,4,2,2,2,2,2,2,1,1,2,2,2,2,17
144,2004,1,86,3,2,1,4,1,2,1,2,2,2,2,2,2,2,2,2,17
151,2004,1,51,3,2,2,4,1,2,2,1,2,2,2,2,2,2,2,2,17
152,2004,1,35,6,1,3,4,1,2,2,2,2,2,2,1,2,2,2,2,17
155,2004,1,31,6,2,2,4,1,2,2,1,2,2,2,2,2,2,2,2,17
