id,year,wtssall,sampcode,n_size,age,educ,relig,sex,race
1,2004,0.9184,501,0,52,9,2,2,3
2,2004,0.9184,501,0,43,14,2,2,3
3,2004,0.4592,501,4,52,14,1,1,2
5,2004,0.9184,501,4,34,17,2,2,3
8,2004,0.4592,501,0,22,14,9,1,3
10,2004,3.6735,501,6,26,14,1,1,2
11,2004,0.9184,501,0,74,12,1,1,2
12,2004,0.9184,501,2,58,12,4,2,2
13,2004,0.9184,501,0,32,10,2,1,2
16,2004,0.4592,501,2,48,11,1,1,2
17,2004,1.8368,501,0,39,9,4,2,2
19,2004,0.9184,501,0,38,16,1,2,2
20,2004,1.8368,501,1,29,11,4,1,3
22,2004,1.3776,501,0,67,14,2,2,1
23,2004,0.9184,501,0,57,12,9,1,1
26,2004,1.8368,501,1,55,16,1,2,3
27,2004,0.9184,501,0,35,13,3,2,1
30,2004,0.4592,501,3,73,16,3,1,1
32,2004,0.4592,501,0,68,12,2,1,2
35,2004,2.3118,501,3,47,17,,2,1
36,2004,0.9184,501,6,58,16,3,2,1
38,2004,0.9184,501,0,29,19,3,1,1
46,2004,0.9184,501,3,55,16,5,1,3
48,2004,0.4592,501,0,33,18,4,1,1
49,2004,0.4592,501,0,26,13,4,2,1
52,2004,0.9184,501,0,30,17,4,1,3
53,2004,0.4592,501,0,37,12,2,2,2
54,2004,3.2663,501,2,49,12,2,1,1
55,2004,0.9184,501,1,23,12,2,1,1
57,2004,0.4592,501,3,47,16,4,1,1
59,2004,0.9184,501,4,55,16,4,2,1
60,2004,0.9184,501,1,74,16,3,1,1
61,2004,0.9184,501,2,49,16,1,1,1
62,2004,0.9184,501,2,40,16,2,1,1
63,2004,1.8368,501,3,40,20,8,2,3
65,2004,1.3776,501,2,55,20,7,1,3
66,2004,2.7551,501,2,48,18,3,2,1
69,2004,0.9184,501,1,57,18,4,2,1
70,2004,0.4592,501,4,59,18,1,2,1
71,2004,1.8368,501,2,38,16,2,2,2
72,2004,0.4592,501,3,33,17,1,2,2
74,2004,0.9184,501,2,45,15,1,2,2
75,2004,0.4592,501,4,41,16,1,2,2
79,2004,0.4592,501,0,57,10,2,2,3
80,2004,0.4592,501,5,66,18,2,2,1
83,2004,0.9184,501,3,30,17,2,2,1
84,2004,1.8368,501,6,48,16,2,1,1
87,2004,0.9184,501,0,32,16,4,1,3
89,2004,0.9184,501,1,33,15,7,1,3
90,2004,0.9184,501,5,69,12,1,2,1
92,2004,0.9184,501,6,31,15,7,1,3
93,2004,0.9184,501,3,31,14,7,1,3
94,2004,0.9184,501,2,45,13,2,2,1
95,2004,0.9184,501,3,79,12,2,2,1
96,2004,1.8368,501,1,18,12,2,2,1
99,2004,0.9184,501,0,63,12,1,1,1
103,2004,0.9184,501,6,37,16,2,2,1
105,2004,2.7551,501,0,33,14,9,2,3
106,2004,0.9184,501,3,50,17,2,2,1
110,2004,0.9184,501,0,57,15,2,2,3
112,2004,0.4592,501,3,60,9,2,1,1
113,2004,0.4592,501,0,74,14,2,2,1
116,2004,0.9184,501,2,34,18,2,2,1
117,2004,0.9184,501,4,60,20,2,1,1
120,2004,1.8368,501,1,35,16,4,1,1
122,2004,0.9184,501,0,35,20,2,1,1
125,2004,1.8368,501,4,47,12,2,2,1
129,2004,0.9184,501,3,62,12,2,1,1
130,2004,0.4592,501,0,61,15,2,1,1
131,2004,0.9184,501,3,56,6,10,2,1
133,2004,2.2143,501,2,19,11,4,1,1
135,2004,3.6735,501,2,55,14,2,1,1
136,2004,0.9184,501,2,32,18,2,2,1
139,2004,0.4592,501,4,50,14,4,1,1
140,2004,0.9184,501,2,24,12,1,2,1
143,2004,0.9184,501,1,50,12,4,2,1
144,2004,0.9184,501,4,55,16,4,2,1
146,2004,0.9184,501,0,49,15,2,1,1
149,2004,4.5919,501,0,28,14,2,1,1
151,2004,0.9184,501,1,61,9,2,1,2
152,2004,0.4592,501,2,35,12,2,2,1
155,2004,1.8368,501,2,32,16,2,1,1
156,2004,2.7551,501,1,58,12,2,1,1
159,2004,1.8368,501,1,33,19,1,1,1
160,2004,1.3776,501,4,58,12,1,1,1
163,2004,0.9184,502,0,33,16,2,1,1
166,2004,1.8368,502,2,25,11,11,1,1
168,2004,1.7514,502,0,,16,1,2,1
171,2004,0.9184,502,6,67,16,1,1,1
176,2004,0.9184,502,0,31,16,1,2,1
177,2004,0.9184,502,6,74,18,4,1,1
181,2004,0.9184,502,5,38,13,1,2,2
182,2004,0.4592,502,0,69,12,1,1,1
183,2004,0.9184,502,1,35,6,1,1,3
184,2004,0.4592,502,2,59,13,1,2,3
185,2004,0.9184,502,2,76,14,1,1,1
189,2004,0.9184,502,0,,12,4,1,1
191,2004,0.4592,502,0,79,12,1,2,1
193,2004,0.9184,502,4,47,15,5,1,1
194,2004,0.9184,502,0,62,,1,1,1
198,2004,0.4592,502,2,30,12,4,1,1
199,2004,0.4592,502,3,64,15,1,2,1
202,2004,1.3776,502,3,18,12,4,1,1
203,2004,1.8368,502,0,64,14,1,1,1
204,2004,0.9184,502,1,38,15,2,2,3
205,2004,0.9184,502,0,49,12,1,1,1
206,2004,1.8368,502,0,28,14,1,1,1
207,2004,0.9184,502,1,24,11,4,1,3
210,2004,1.8368,502,1,24,15,2,1,1
211,2004,1.3776,502,1,28,14,1,1,3
212,2004,0.9184,502,0,51,6,8,1,3
214,2004,1.8368,502,1,30,14,2,2,3
216,2004,2.2959,502,1,44,14,2,2,1
218,2004,1.8368,502,5,34,16,4,2,1
220,2004,1.3776,502,2,31,13,11,1,1
223,2004,0.9184,502,4,55,16,,1,3
225,2004,1.8368,502,0,23,12,1,1,2
227,2004,0.9184,502,0,36,11,2,1,1
229,2004,0.9184,502,4,26,12,2,2,1
230,2004,0.9184,502,1,33,13,2,2,3
233,2004,0.9184,502,6,57,17,1,1,1
235,2004,0.9184,502,2,64,10,1,2,1
237,2004,0.9184,502,3,26,14,2,2,3
238,2004,0.9184,502,4,28,16,2,2,3
239,2004,1.8368,502,2,41,13,1,2,1
240,2004,2.0616,502,0,70,14,2,1,1
243,2004,0.9184,502,0,40,18,1,1,2
248,2004,0.4592,502,0,62,12,11,2,1
250,2004,3.6735,502,5,59,18,3,2,1
252,2004,1.8368,502,2,62,11,4,1,1
253,2004,0.9184,502,5,49,17,1,2,1
255,2004,0.4592,502,3,44,14,5,1,1
258,2004,0.9184,502,5,50,12,3,1,1
259,2004,0.9184,502,3,44,20,3,2,1
260,2004,0.4592,502,1,28,17,3,1,1
261,2004,1.8368,503,4,24,17,2,2,1
262,2004,1.3776,503,3,20,14,2,1,3
264,2004,0.9184,503,0,38,12,4,1,3
266,2004,1.8368,503,2,24,11,4,2,2
267,2004,0.4592,503,0,54,14,1,2,2
268,2004,0.9184,503,4,49,20,2,1,1
269,2004,0.9184,503,6,32,16,10,2,1
270,2004,0.9184,503,4,27,16,2,2,1
271,2004,1.8368,503,3,25,15,2,1,1
273,2004,1.3776,503,1,18,12,2,2,3
276,2004,0.4592,503,6,36,12,2,2,1
277,2004,0.4592,503,0,19,13,11,1,1
278,2004,0.9184,503,6,60,16,1,2,1
280,2004,0.4592,503,6,39,18,1,2,1
281,2004,0.9184,503,4,28,16,1,1,1
284,2004,1.8368,503,3,42,19,2,2,1
285,2004,0.9184,503,3,46,16,2,1,1
287,2004,0.9184,503,1,35,16,2,2,1
289,2004,0.9184,503,3,53,16,2,2,1
290,2004,1.3776,503,1,50,14,2,2,1
292,2004,0.9184,503,0,45,12,2,2,1
294,2004,0.8757,503,2,49,14,5,1,1
296,2004,0.9184,503,2,25,16,2,2,1
299,2004,0.9184,503,3,46,16,2,1,1
300,2004,0.9184,503,3,23,14,2,1,1
301,2004,0.9184,503,3,39,16,2,2,1
302,2004,0.4592,503,2,22,14,2,2,3
305,2004,0.8757,503,3,46,13,2,1,1
309,2004,0.9184,503,1,41,12,1,1,1
313,2004,0.4592,503,1,56,12,2,1,1
314,2004,1.3776,503,2,18,11,1,1,1
316,2004,2.2959,503,6,50,16,1,2,1
